ModelID,Accuracy,Precision,Recall,F1 Score,Parameter Count,Learning Rate,Batch size,Epoch,Optimizer,conv1,conv2,conv3,f1,f2,k1,k2,k3,max_val,max_val_index
cnn_20250424_1611_9352,96.5094%,97.1068%,95.8752%,96.4871%,197217,0.002,1024,200,adam,32,32,32,64,32,4,4,4,95.9457%,121

cnn_20250424_1629_3361,95.6924%,95.8811%,95.4867%,95.6835%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.7340%,199
cnn_20250424_1630_3544,95.0240%,96.0285%,93.9328%,94.9691%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,93.3166%,85
cnn_20250424_1630_6488,94.7326%,93.8508%,95.7381%,94.7851%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.4047%,25
cnn_20250424_1629_2329,95.3096%,95.3252%,95.2925%,95.3088%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.5571%,40
cnn_20250424_1630_4158,96.6408%,97.6646%,95.5667%,96.6043%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1058%,199
cnn_20250424_1630_3276,95.0697%,95.5643%,94.5270%,95.0428%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.3742%,32
cnn_20250424_1629_6650,96.6636%,97.2139%,96.0809%,96.6441%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8086%,192
cnn_20250424_1630_5261,95.3553%,95.3398%,95.3725%,95.3561%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.5037%,36
cnn_20250424_1630_5583,95.0183%,95.4231%,94.5727%,94.9960%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.4733%,26
cnn_20250424_1629_9133,96.6408%,97.6646%,95.5667%,96.6043%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1058%,199
cnn_20250424_1643_8243,96.6408%,97.6646%,95.5667%,96.6043%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1058%,199
cnn_20250424_1700_4767,96.6636%,97.2030%,96.0923%,96.6444%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1210%,176

cnn_20250424_1709_1644,96.2409%,96.3255%,96.1495%,96.2374%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1820%,76
cnn_20250424_1709_8365,96.1323%,95.9695%,96.3094%,96.1392%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1058%,139
cnn_20250424_1709_2669,96.3037%,96.2561%,96.3551%,96.3056%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2125%,185
cnn_20250424_1709_4602,96.8807%,97.1826%,96.5608%,96.8707%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3954%,143
cnn_20250424_1709_3042,96.3894%,96.1678%,96.6293%,96.3980%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2430%,62
cnn_20250424_1709_7713,96.5037%,96.7386%,96.2523%,96.4948%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3039%,183
cnn_20250424_1709_7542,96.9150%,96.9257%,96.9036%,96.9146%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4106%,176
cnn_20250424_1709_8941,96.7722%,97.1113%,96.4122%,96.7605%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4868%,192
cnn_20250424_1709_4805,96.9207%,97.1632%,96.6636%,96.9128%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3725%,132
cnn_20250424_1709_7223,96.9835%,97.5486%,96.3894%,96.9655%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5478%,122
cnn_20250424_1719_6925,96.4808%,97.1816%,95.7381%,96.4545%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2963%,75
cnn_20250424_1719_4141,96.8979%,96.9569%,96.8350%,96.8959%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.6240%,132
cnn_20250424_1720_2689,96.8350%,97.6961%,95.9324%,96.8062%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.6164%,192
cnn_20250424_1720_7514,96.7550%,97.5593%,95.9095%,96.7274%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3039%,106
cnn_20250424_1720_2723,96.9664%,97.6580%,96.2409%,96.9442%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5478%,194
cnn_20250424_1720_5155,96.9778%,97.2749%,96.6636%,96.9683%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5021%,183
cnn_20250424_1720_4839,96.8236%,97.2555%,96.3665%,96.8090%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5249%,148
cnn_20250424_1720_4601,96.6979%,98.6548%,94.6869%,96.6301%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4258%,160
cnn_20250424_1720_5505,96.9436%,97.2730%,96.5951%,96.9329%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5859%,158
cnn_20250424_1719_3705,96.8807%,96.6250%,97.1549%,96.8892%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5935%,192
cnn_20250424_1730_8168,95.7952%,97.1862%,94.3213%,95.7323%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.8255%,170
cnn_20250424_1730_2419,95.6067%,96.6025%,94.5384%,95.5593%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.4140%,132
cnn_20250424_1730_9670,96.8350%,98.0314%,95.5896%,96.7951%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4944%,162
cnn_20250424_1730_7066,95.8352%,96.0827%,95.5667%,95.8240%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.8941%,152
cnn_20250424_1730_6995,96.8807%,98.1234%,95.5896%,96.8399%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5859%,164
cnn_20250424_1730_1439,95.7096%,96.4796%,94.8812%,95.6737%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.6121%,178
cnn_20250424_1730_5995,97.0064%,97.8483%,96.1266%,96.9798%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.6545%,157
cnn_20250424_1730_4349,96.5436%,98.5461%,94.4813%,96.4709%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1820%,181
cnn_20250424_1730_2883,96.8979%,97.5884%,96.1723%,96.8752%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2582%,199
