ModelID,Accuracy,Precision,Recall,F1 Score,Parameter Count,Learning Rate,Batch size,Epoch,Optimizer,conv1,conv2,conv3,f1,f2,k1,k2,k3,max_val,max_val_index
cnn_20250424_1906_6134,96.2237%,97.2219%,95.1668%,96.1834%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.2599%,102
cnn_20250424_1908_6621,96.1437%,96.6609%,95.5896%,96.1222%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.2827%,194
cnn_20250424_1908_2507,96.0523%,96.3010%,95.7838%,96.0417%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.0922%,194
cnn_20250424_1909_2143,96.8293%,97.6847%,95.9324%,96.8006%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1286%,192
cnn_20250424_1908_4136,96.7722%,96.7028%,96.8464%,96.7746%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1439%,171
cnn_20250424_1909_4707,96.7550%,96.7123%,96.8007%,96.7565%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1591%,176
cnn_20250424_1910_5016,96.5151%,96.2929%,96.7550%,96.5234%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7705%,187
cnn_20250424_1909_6905,96.6351%,96.8438%,96.4122%,96.6275%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0067%,187
cnn_20250424_1912_6131,96.9721%,97.7690%,96.1380%,96.9467%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2658%,192
cnn_20250424_1913_2968,96.6522%,97.7656%,95.4867%,96.6127%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0601%,165
cnn_20250424_1915_7511,96.7836%,96.8961%,96.6636%,96.7797%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9610%,176
cnn_20250424_1917_2760,96.7779%,96.7032%,96.8579%,96.7805%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8848%,176
cnn_20250424_1918_7713,96.5722%,96.1504%,97.0293%,96.5878%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7552%,154
cnn_20250424_1918_7113,96.7150%,97.5241%,95.8638%,96.6868%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0829%,166
cnn_20250424_1918_2008,96.8464%,96.9753%,96.7093%,96.8421%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0448%,176
cnn_20250424_1918_3034,96.6636%,97.2030%,96.0923%,96.6444%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1210%,176
cnn_20250424_1919_4601,96.6922%,97.1284%,96.2294%,96.6768%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9610%,150
cnn_20250424_1919_1619,96.5836%,96.7010%,96.4580%,96.5793%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6638%,187
cnn_20250424_1920_3745,96.6179%,97.9887%,95.1897%,96.5689%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0677%,176
cnn_20250424_1923_4629,96.7150%,97.5131%,95.8752%,96.6872%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9991%,157
cnn_20250424_1925_9422,96.5494%,96.5494%,96.5494%,96.5494%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0448%,171
cnn_20250424_1926_2869,96.5779%,97.3736%,95.7381%,96.5489%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7933%,186
cnn_20250424_1927_2109,96.5037%,96.3342%,96.6865%,96.5100%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7019%,195
cnn_20250424_1927_7308,96.7150%,97.4359%,95.9552%,96.6899%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0143%,194
cnn_20250424_1928_7659,96.5836%,96.9592%,96.1837%,96.5699%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8924%,164
cnn_20250424_1928_6442,96.5608%,96.9254%,96.1723%,96.5474%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7552%,192
cnn_20250424_1928_7249,96.3723%,96.8595%,95.8524%,96.3533%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6638%,146
cnn_20250424_1929_8892,96.4865%,96.7053%,96.2523%,96.4783%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6409%,157
cnn_20250424_1930_2276,96.4922%,97.5684%,95.3611%,96.4521%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9457%,193
cnn_20250424_1933_8137,96.4351%,96.8635%,95.9781%,96.4187%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9610%,156
cnn_20250424_1933_9907,96.3951%,96.3792%,96.4122%,96.3957%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2353%,145
cnn_20250424_1935_3717,96.5208%,98.2462%,94.7326%,96.4574%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2963%,155
cnn_20250424_1937_3506,96.1723%,97.6758%,94.5955%,96.1110%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1515%,179
cnn_20250424_1936_4663,95.8695%,94.7597%,97.1092%,95.9201%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1058%,77
cnn_20250424_1938_4103,96.6065%,97.4192%,95.7495%,96.5772%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1744%,83
cnn_20250424_1938_3360,96.5322%,98.1099%,94.8926%,96.4744%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4411%,177
cnn_20250424_1938_4679,96.6750%,97.7331%,95.5667%,96.6378%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2430%,180
cnn_20250424_1938_8684,96.8750%,98.3842%,95.3154%,96.8255%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2582%,142
cnn_20250424_1939_2993,96.4008%,97.1223%,95.6353%,96.3731%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0982%,127
cnn_20250424_1942_3636,96.6865%,97.5006%,95.8295%,96.6578%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2277%,191
cnn_20250424_1942_3729,96.8122%,98.1887%,95.3839%,96.7660%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3344%,140
cnn_20250424_1945_8336,96.8464%,98.1108%,95.5324%,96.8044%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5630%,178
cnn_20250424_1946_8604,96.6808%,98.4926%,94.8126%,96.6176%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3649%,178
cnn_20250424_1946_8175,96.4237%,97.3764%,95.4182%,96.3873%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1439%,196
cnn_20250424_1947_7907,96.7150%,98.5397%,94.8355%,96.6521%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5859%,192
cnn_20250424_1947_7462,96.8807%,97.8094%,95.9095%,96.8501%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4182%,102
cnn_20250424_1947_3784,96.7036%,98.0148%,95.3382%,96.6580%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3801%,143
cnn_20250424_1949_7155,96.0752%,98.0002%,94.0699%,95.9949%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2734%,94
cnn_20250424_1948_1697,97.1321%,97.7210%,96.5151%,97.1143%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4792%,178
cnn_20250424_1950_4540,96.6808%,97.5777%,95.7381%,96.6492%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3877%,75
cnn_20250424_1952_6198,96.8236%,97.8962%,95.7038%,96.7876%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.6469%,189
cnn_20250424_1954_7227,97.0807%,97.6193%,96.5151%,97.0641%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4868%,199
cnn_20250424_1955_1397,96.9378%,97.3599%,96.4922%,96.9241%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3877%,145
cnn_20250424_1956_1586,96.1495%,97.0307%,95.2125%,96.1130%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7324%,136
cnn_20250424_1956_7456,96.1437%,96.7041%,95.5439%,96.1205%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8848%,31
cnn_20250424_1956_1436,96.0980%,95.5721%,96.6750%,96.1204%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8924%,139
cnn_20250424_1957_3213,96.1894%,96.5243%,95.8295%,96.1757%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0296%,139
cnn_20250424_1958_5016,95.8067%,94.9339%,96.7779%,95.8470%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9457%,84
cnn_20250424_1958_7227,96.3094%,96.4049%,96.2066%,96.3056%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8619%,94
cnn_20250424_1959_4883,96.3608%,97.7409%,94.9154%,96.3075%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9610%,118
cnn_20250424_2001_8644,96.6122%,97.1455%,96.0466%,96.5929%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1896%,191
cnn_20250424_2003_5386,96.2409%,96.3362%,96.1380%,96.2370%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0067%,175
cnn_20250424_2004_2227,96.0295%,94.7363%,97.4749%,96.0861%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0601%,100
cnn_20250424_2005_8684,96.5208%,97.6143%,95.3725%,96.4804%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1210%,153
cnn_20250424_2005_2650,96.5379%,97.8389%,95.1782%,96.4902%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0219%,124
cnn_20250424_2005_4776,96.6293%,96.7790%,96.4694%,96.6239%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3344%,145
cnn_20250424_2007_8336,96.3665%,95.1591%,97.7034%,96.4145%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1667%,187
cnn_20250424_2007_1496,96.4922%,96.0086%,97.0178%,96.5106%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1972%,157
cnn_20250424_2008_3150,96.5151%,97.3042%,95.6810%,96.4858%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9838%,137
cnn_20250424_2009_7340,96.5094%,97.6472%,95.3154%,96.4672%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2963%,167
cnn_20250424_2011_3259,96.6808%,97.6999%,95.6124%,96.6449%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4640%,143
cnn_20250424_2011_7632,96.6636%,95.8053%,97.6005%,96.6946%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3801%,140
cnn_20250424_2014_7917,95.9952%,94.1635%,98.0690%,96.0766%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0982%,101
cnn_20250424_2014_4236,96.6179%,97.9549%,95.2239%,96.5701%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1820%,171
cnn_20250424_2014_9354,96.5436%,96.7413%,96.3323%,96.5363%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2430%,102
cnn_20250424_2015_5530,96.6636%,97.6769%,95.6010%,96.6278%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2201%,197
cnn_20250424_2016_3658,96.8979%,97.0214%,96.7665%,96.8938%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4411%,179
cnn_20250424_2017_4603,96.7150%,96.9997%,96.4122%,96.7051%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2582%,165
cnn_20250424_2018_5719,96.0866%,96.9394%,95.1782%,96.0507%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7476%,33
cnn_20250424_2018_5851,95.9952%,97.5322%,94.3784%,95.9294%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6790%,40
cnn_20250424_2020_5913,94.3384%,91.3920%,97.8976%,94.5330%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8162%,53
cnn_20250424_2020_5867,96.0809%,97.2248%,94.8697%,96.0328%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7781%,42
cnn_20250424_2024_4046,94.2356%,91.6335%,97.3606%,94.4103%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.5723%,43
cnn_20250424_2025_4853,96.3151%,96.6402%,95.9666%,96.3022%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9610%,169
cnn_20250424_2024_1564,96.6065%,97.1997%,95.9781%,96.5850%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8848%,144
cnn_20250424_2024_1334,96.0238%,95.5759%,96.5151%,96.0432%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9991%,89
cnn_20250424_2026_4649,94.4470%,91.8100%,97.6005%,94.6167%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7628%,50
cnn_20250424_2025_6739,93.2701%,89.2435%,98.4004%,93.5985%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8619%,43
cnn_20250424_2027_4376,96.1095%,96.6047%,95.5782%,96.0887%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9457%,108
cnn_20250424_2028_2199,96.4751%,96.6938%,96.2409%,96.4668%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0143%,165
cnn_20250424_2029_8498,96.1952%,95.7456%,96.6865%,96.2138%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9762%,169
cnn_20250424_2029_7034,94.6584%,92.0495%,97.7605%,94.8191%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6485%,82
cnn_20250424_2033_1949,94.8355%,92.2936%,97.8405%,94.9861%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8162%,78
cnn_20250424_2034_9134,96.5265%,97.2938%,95.7153%,96.4981%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0905%,136
cnn_20250424_2034_4645,96.5436%,96.7949%,96.2751%,96.5343%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1972%,94
cnn_20250424_2034_9165,96.2466%,95.6983%,96.8464%,96.2690%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2506%,119
cnn_20250424_2035_1092,94.9440%,92.0380%,98.4004%,95.1129%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9991%,84
cnn_20250424_2035_8979,90.3451%,85.5876%,97.0293%,90.9500%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.5266%,54
cnn_20250424_2036_7756,96.4637%,97.4559%,95.4182%,96.4263%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2506%,174
cnn_20250424_2038_1243,96.7036%,97.0964%,96.2866%,96.6898%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2353%,94
cnn_20250424_2039_4009,96.3780%,96.5588%,96.1837%,96.3709%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0905%,76
cnn_20250424_2039_7846,96.4865%,96.4918%,96.4808%,96.4863%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3039%,170
cnn_20250424_2042_4352,95.6696%,94.5398%,96.9378%,95.7238%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0905%,145
cnn_20250424_2043_7568,96.7722%,96.7028%,96.8464%,96.7746%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1439%,171
cnn_20250424_2044_6447,96.8293%,97.6847%,95.9324%,96.8006%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1286%,192
cnn_20250424_2044_9295,96.7550%,96.7123%,96.8007%,96.7565%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1591%,176
cnn_20250424_2044_6323,96.5151%,96.2929%,96.7550%,96.5234%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7705%,187
cnn_20250424_2044_8451,96.6351%,96.8438%,96.4122%,96.6275%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0067%,187
cnn_20250424_2045_4184,96.9721%,97.7690%,96.1380%,96.9467%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2658%,192
cnn_20250424_2047_5497,96.6522%,97.7656%,95.4867%,96.6127%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0601%,165
cnn_20250424_2048_1166,96.7779%,96.7032%,96.8579%,96.7805%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8848%,176
cnn_20250424_2048_8764,96.7836%,96.8961%,96.6636%,96.7797%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9610%,176
cnn_20250424_2051_5666,96.5722%,96.1504%,97.0293%,96.5878%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7552%,154
cnn_20250424_2051_2978,96.8464%,96.9753%,96.7093%,96.8421%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0448%,176
cnn_20250424_2053_3386,96.7150%,97.5241%,95.8638%,96.6868%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0829%,166
cnn_20250424_2054_6238,96.6636%,97.2030%,96.0923%,96.6444%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.1210%,176
cnn_20250424_2054_9126,96.6922%,97.1284%,96.2294%,96.6768%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9610%,150
cnn_20250424_2054_1474,96.6179%,97.9887%,95.1897%,96.5689%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0677%,176
cnn_20250424_2054_6506,96.5836%,96.7010%,96.4580%,96.5793%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6638%,187
cnn_20250424_2056_2547,96.7150%,97.5131%,95.8752%,96.6872%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.9991%,157
cnn_20250424_2057_1900,96.5494%,96.5494%,96.5494%,96.5494%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0448%,171
cnn_20250424_2058_4579,96.5779%,97.3736%,95.7381%,96.5489%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7933%,186
cnn_20250424_2100_4819,96.5037%,96.3342%,96.6865%,96.5100%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7019%,195
cnn_20250424_2101_5280,96.7150%,97.4359%,95.9552%,96.6899%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0143%,194
cnn_20250424_2102_1876,96.5836%,96.9592%,96.1837%,96.5699%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.8924%,164
cnn_20250424_2103_9256,96.5608%,96.9254%,96.1723%,96.5474%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.7552%,192
cnn_20250424_2103_3687,96.4865%,96.7053%,96.2523%,96.4783%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6409%,157
cnn_20250424_2104_5372,96.3723%,96.8595%,95.8524%,96.3533%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,95.6638%,146
cnn_20250424_2306_7511,96.8807%,97.4774%,96.2523%,96.8610%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5325%,157

--- Leraning Rate
cnn_20250426_1231_3649,95.8124%,97.1096%,94.4356%,95.7539%,137673,0.0001,1024,200,adam,32,32,32,44,18,4,4,4,94.6807%,194
cnn_20250426_1231_5934,96.3894%,97.2863%,95.4410%,96.3548%,137673,0.0002,1024,200,adam,32,32,32,44,18,4,4,4,95.5266%,189
cnn_20250426_1231_9851,96.5494%,98.0085%,95.0297%,96.4961%,137673,0.0003,1024,200,adam,32,32,32,44,18,4,4,4,95.9686%,195
cnn_20250426_1231_3545,96.4522%,97.7901%,95.0526%,96.4019%,137673,0.0005,1024,200,adam,32,32,32,44,18,4,4,4,96.1286%,160
cnn_20250426_1231_9217,96.5836%,98.1119%,94.9954%,96.5285%,137673,0.0009,1024,200,adam,32,32,32,44,18,4,4,4,96.4030%,193
cnn_20250426_1231_8559,96.6065%,97.1343%,96.0466%,96.5874%,137673,0.0008,1024,200,adam,32,32,32,44,18,4,4,4,96.3268%,179
cnn_20250426_1231_8881,96.7436%,97.9826%,95.4525%,96.7010%,137673,0.0007,1024,200,adam,32,32,32,44,18,4,4,4,96.4335%,148
cnn_20250426_1231_4127,96.5665%,98.3165%,94.7555%,96.5032%,137673,0.0004,1024,200,adam,32,32,32,44,18,4,4,4,96.0905%,186
cnn_20250426_1232_9969,96.8236%,97.5516%,96.0580%,96.7991%,137673,0.001,1024,200,adam,32,32,32,44,18,4,4,4,96.4716%,124
cnn_20250426_1231_9029,96.6808%,97.5224%,95.7952%,96.6511%,137673,0.0006,1024,200,adam,32,32,32,44,18,4,4,4,96.3192%,178
cnn_20250428_1842_6816,96.8976%,97.1794%,96.5992%,96.8884%,110765,0.002,1024,200,adam,32,44,64,16,8,4,4,4,97.2036%,166
cnn_20250428_1843_2291,96.7502%,97.7979%,95.6545%,96.7143%,110909,0.002,1024,200,adam,32,44,64,16,16,4,4,4,97.1482%,173
cnn_20250430_1745_1809,50.0000%,50.0000%,100.0000%,66.6667%,137673,0.002,1024,60,adam,32,32,32,44,18,4,4,4,97.8603%,59
cnn_20250430_1756_9618,98.2176%,97.6858%,98.7751%,98.2274%,137673,0.002,1024,60,adam,32,32,32,44,18,4,4,4,97.8603%,59
cnn_20250501_1037_3596,97.2395%,97.8164%,96.6362%,97.2227%,137673,0.002,1024,10,adam,32,32,32,44,18,4,4,4,96.7447%,9
cnn_20250501_1108_9647,95.9689%,96.1292%,95.7952%,95.9619%,25889,0.001,32,2,adam,16,16,16,16,16,4,4,4,95.7846%,1
cnn_20250501_1115_1296,98.2176%,97.6858%,98.7751%,98.2274%,137673,0.002,1024,60,adam,32,32,32,44,18,4,4,4,97.8603%,59
cnn_20250501_1120_1089,98.2176%,97.6858%,98.7751%,98.2274%,137673,0.002,1024,60,adam,32,32,32,44,18,4,4,4,97.8603%,59
cnn_20250501_1128_6249,98.0896%,97.5592%,98.6472%,98.1002%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,98.0614%,168
cnn_20250501_1147_4931,91.1883%,89.0197%,93.9671%,91.4265%,137673,0.002,1024,2,adam,32,32,32,44,18,4,4,4,91.9898%,1
cnn_20250501_1151_5983,97.9250%,97.0056%,98.9031%,97.9451%,137673,0.002,1024,100,adam,32,32,32,44,18,4,4,4,97.9517%,93
cnn_20250501_1226_7856,97.5868%,96.3662%,98.9031%,97.6182%,40521,0.002,1024,200,adam,32,32,32,44,18,4,4,4,97.7871%,161
cnn_20250501_1345_8026,97.9890%,98.3425%,97.6234%,97.9817%,71497,0.002,1024,100,adam,32,32,32,44,18,4,4,4,97.9151%,96
cnn_20250501_1401_5995,97.8702%,98.3743%,97.3492%,97.8590%,40521,0.002,1024,100,adam,32,32,32,44,18,4,4,4,97.7323%,95
cnn_20250501_1637_4440,97.9250%,97.0056%,98.9031%,97.9451%,137673,0.002,1024,100,adam,32,32,32,44,18,4,4,4,97.9517%,93
cnn_20250501_1651_6518,98.0896%,97.5592%,98.6472%,98.1002%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,98.0614%,168
cnn_20250502_1233_9433,95.9689%,96.1292%,95.7952%,95.9619%,25889,0.001,32,2,adam,16,16,16,16,16,4,4,4,95.7846%,1
cnn_20250502_1251_1243,98.0804%,97.8878%,98.2815%,98.0843%,137673,0.002,1024,40,adam,32,32,32,44,18,4,4,4,97.8328%,36
cnn_20250502_1343_6909,97.2395%,97.8164%,96.6362%,97.2227%,137673,0.002,1024,10,adam,32,32,32,44,18,4,4,4,96.7447%,9
cnn_20250502_1547_6140,98.0256%,97.1126%,98.9945%,98.0445%,137865,0.002,1024,150,adam,32,32,32,44,18,4,4,4,98.0157%,73
cnn_20250502_1603_8905,98.2176%,98.0157%,98.4278%,98.2213%,137673,0.002,1024,150,adam,32,32,32,44,18,4,4,4,97.9792%,149
cnn_20250502_1618_2070,97.9250%,97.0056%,98.9031%,97.9451%,137673,0.002,1024,100,adam,32,32,32,44,18,4,4,4,97.9517%,93
cnn_20250502_1749_2633,97.9250%,97.0056%,98.9031%,97.9451%,137673,0.002,1024,100,adam,32,32,32,44,18,4,4,4,97.9517%,93
cnn_20250505_1324_6001,91.3470%,91.4494%,90.7034%,91.0749%,25889,0.001,32,2,adam,16,16,16,16,16,4,4,4,91.0685%,1
cnn_20250505_1341_4040,93.6994%,95.7753%,91.0728%,93.3649%,137673,0.002,1024,100,adam,32,32,32,44,18,4,4,4,93.5636%,89
cnn_20250505_1411_8520,93.5121%,94.0128%,92.5658%,93.2837%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,93.6086%,188
cnn_20250505_1456_1320,95.5480%,96.0962%,94.9543%,95.5218%,137673,0.002,1024,100,adam,32,32,32,44,18,4,4,4,95.5655%,93
cnn_20250505_1846_7328,95.5846%,97.0560%,94.0219%,95.5149%,131657,0.0008787792256739448,128,200,adam,32,32,32,44,18,8,4,6,95.4924%,173
cnn_20250506_1332_4044,94.8898%,95.3966%,94.3327%,94.8617%,61041,0.0008787792256739448,1024,200,adam,32,32,24,24,96,8,4,6,95.2089%,97
cnn_20250506_1345_5150,94.6522%,94.6935%,94.6069%,94.6502%,214289,0.002,1024,200,adam,32,24,24,96,112,8,4,6,95.4101%,32
cnn_20250507_1442_4070,95.2372%,95.8495%,94.5704%,95.2057%,137673,0.002,1024,100,adam,32,32,32,44,18,4,4,4,95.1632%,93
cnn_20250507_1542_7341,95.3378%,95.7903%,94.8446%,95.3151%,137673,0.002,1024,50,adam,32,32,32,44,18,4,4,4,94.9438%,49
cnn_20250508_1013_9508,95.2372%,95.1634%,95.3199%,95.2416%,137673,0.002,1024,50,adam,32,32,32,44,18,4,4,4,95.1449%,41
cnn_20250508_1023_4802,95.4109%,96.3606%,94.3876%,95.3639%,97433,0.00021683919249716394,256,100,adam,24,28,24,44,40,10,4,5,95.3918%,95
cnn_20250508_1037_5992,95.5663%,97.1439%,93.8940%,95.4913%,97433,0.00021683919249716394,256,200,adam,24,28,24,44,40,10,4,5,95.5381%,188
cnn_20250508_1159_5071,94.7893%,95.5390%,93.9671%,94.7465%,137673,0.0002,1024,100,adam,32,32,32,44,18,4,4,4,94.4409%,95

-- Wavelet 
cnn_20250508_1218_3018,94.8350%,95.7471%,93.8391%,94.7835%,137673,0.0002,1024,100,adam,32,32,32,44,18,4,4,4,94.3586%,98,db2,2
cnn_20250508_1219_7029,94.8624%,95.6983%,93.9488%,94.8155%,137673,0.0002,1024,100,adam,32,32,32,44,18,4,4,4,94.4592%,98,db2,3
cnn_20250508_1219_5137,94.8350%,95.6279%,93.9671%,94.7902%,137673,0.0002,1024,100,adam,32,32,32,44,18,4,4,4,94.5049%,98,db4,2
cnn_20250508_1219_2911,94.8076%,95.8645%,93.6563%,94.7475%,137673,0.0002,1024,100,adam,32,32,32,44,18,4,4,4,94.3952%,99,db4,4
